"U.S. House margins of victory, 2022",,,,,,,,
District,Votes cast,Winner,Winner votes,Runner-up,Runner-up votes,Margin,Margin (%),Status
Alabama's 1st Congressional District,"166,051",Republican PartyJerry Carl,"139,854",Libertarian PartyAlexander Remrey,"26,197","113,657",68.45%,Incumbent R
Alabama's 2nd Congressional District,"198,373",Republican PartyBarry Moore,"137,193",Democratic PartyPhyllis Harvey-Hall,"57,800","79,393",40.02%,Incumbent R
Alabama's 3rd Congressional District,"190,071",Republican PartyMike Rogers,"135,448",Democratic PartyLin Veasey,"47,770","87,678",46.13%,Incumbent R
Alabama's 4th Congressional District,"195,305",Republican PartyRobert Aderholt,"164,377",Democratic PartyRick Neighbors,"26,631","137,746",70.53%,Incumbent R
Alabama's 5th Congressional District,"211,194",Republican PartyDale Strong,"141,988",Democratic PartyKathy Warner-Stanton,"62,466","79,522",37.65%,Open
Alabama's 6th Congressional District,"181,850",Republican PartyGary Palmer,"154,058",Libertarian PartyAndria Chieffo,"27,792","126,266",69.43%,Incumbent R
Alabama's 7th Congressional District,"195,620",Democratic PartyTerri Sewell,"125,060",Republican PartyBeatrice Nichols,"67,353","57,707",29.50%,Incumbent D
Alaska's At-Large Congressional District,"249,148",Democratic PartyMary Peltola,"136,893",Republican PartySarah Palin,"112,255","24,638",9.89%,Incumbent D
Arizona's 1st Congressional District,"358,742",Republican PartyDavid Schweikert,"180,875",Democratic PartyJevin Hodge,"177,867","3,008",0.84%,Incumbent R
Arizona's 2nd Congressional District,"323,396",Republican PartyEli Crane,"174,169",Democratic PartyTom O'Halleran,"149,151","25,018",7.74%,Incumbent D
Arizona's 3rd Congressional District,"90,723",Democratic PartyRuben Gallego,"69,060",Republican PartyJeffrey Zink,"21,663","47,397",52.24%,Incumbent D
Arizona's 4th Congressional District,"265,498",Democratic PartyGreg Stanton,"148,941",Republican PartyKelly Cooper,"116,521","32,420",12.21%,Incumbent D
Arizona's 5th Congressional District,"321,590",Republican PartyAndy Biggs,"182,464",Democratic PartyJavier Ramos,"120,243","62,221",19.35%,Incumbent R
Arizona's 6th Congressional District,"349,283",Republican PartyJuan Ciscomani,"177,201",Democratic PartyKirsten Engel,"171,969","5,232",1.50%,Open
Arizona's 7th Congressional District,"121,809",Democratic PartyRaúl Grijalva,"77,882",Republican PartyLuis Pozzolo,"43,927","33,955",27.88%,Incumbent D
Arizona's 8th Congressional District,"204,713",Republican PartyDebbie Lesko,"197,555",Democratic PartyJeremy Spreitzer,"5,145","192,410",93.99%,Incumbent R
Arizona's 9th Congressional District,"197,185",Republican PartyPaul Gosar,"192,796",Democratic PartyRichard Grayson,"3,531","189,265",95.98%,Incumbent R
Arkansas' 1st Congressional District,"204,516",Republican PartyRick Crawford,"151,902",Democratic PartyMonte Hodges,"52,614","99,288",48.55%,Incumbent R
Arkansas' 2nd Congressional District,"245,778",Republican PartyFrench Hill,"147,676",Democratic PartyQuintessa Hathaway,"86,540","61,136",24.87%,Incumbent R
Arkansas' 3rd Congressional District,"222,827",Republican PartySteve Womack,"141,959",Democratic PartyLauren Mallett-Hays,"73,242","68,717",30.84%,Incumbent R
Arkansas' 4th Congressional District,"216,185",Republican PartyBruce Westerman,"153,530",Democratic PartyJohn White,"56,577","96,953",44.85%,Incumbent R
