Location,PVI,Member,Incumbent Party,Status
,,,,
Alabama 1,R+16,Jerry Carl,Republican,Incumbent re-elected.
,,,,
,,,,
Alabama 2,R+17,Barry Moore,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Alabama 3,R+19,Mike D. Rogers,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Alabama 4,R+33,Robert Aderholt,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Alabama 5,R+17,Mo Brooks,Republican,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Republican hold.
,,,,
Alabama 6,R+18,Gary Palmer,Republican,Incumbent re-elected.
,,,,
,,,,
Alabama 7,D+14,Terri Sewell,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Alaska at-large,R+8,Mary Peltola,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Arizona 1,R+2,David Schweikert,Republican,Incumbent re-elected.
,,Redistricted from the 6th district,,
,,,,
Arizona 2,R+6,Tom O'Halleran,Democratic,Incumbent lost re-election.
,,Redistricted from the 1st district,,New member elected.
,,,,Republican gain.
Arizona 3,D+24,Ruben Gallego,Democratic,Incumbent re-elected.
,,Redistricted from the 7th district,,
,,,,
Arizona 4,D+2,Greg Stanton,Democratic,Incumbent re-elected.
,,Redistricted from the 9th district,,
,,,,
Arizona 5,R+11,Andy Biggs,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Arizona 6,R+3,Ann Kirkpatrick,Democratic,Incumbent retired.
,,Redistricted from the 2nd district,,New member elected.
,,,,Republican gain.
,,,,
,,,,
Arizona 7,D+15,Raúl Grijalva,Democratic,Incumbent re-elected.
,,Redistricted from the 3rd district,,
,,,,
Arizona 8,R+10,Debbie Lesko,Republican,Incumbent re-elected.
Arizona 9,R+16,Paul Gosar,Republican,Incumbent re-elected.
,,Redistricted from the 4th district,,
Arkansas 1,R+22,Rick Crawford,Republican,Incumbent re-elected.
,,,,
,,,,
Arkansas 2,R+9,French Hill,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Arkansas 3,R+15,Steve Womack,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Arkansas 4,R+20,Bruce Westerman,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
California 1,R+12,Doug LaMalfa,Republican,Incumbent re-elected.
,,,,
,,,,
California 2,D+23,Jared Huffman,Democratic,Incumbent re-elected.
,,,,
,,,,
California 3,R+4,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
California 4,D+17,Mike Thompson,Democratic,Incumbent re-elected.
,,Redistricted from the 5th district,,
,,,,
California 5,R+9,Tom McClintock,Republican,Incumbent re-elected.
,,Redistricted from the 4th district,,
,,,,
California 6,D+7,Ami Bera,Democratic,Incumbent re-elected.
,,Redistricted from the 7th district,,
,,,,
California 7,D+17,Doris Matsui,Democratic,Incumbent re-elected.
,,Redistricted from the 6th district,,
,,,,
California 8,D+26,John Garamendi,Democratic,Incumbent re-elected.
,,Redistricted from the 3rd district,,
,,,,
California 9,D+5,Jerry McNerney,Democratic,Incumbent retired.
,,,,Democratic loss.
,,Josh Harder,Democratic,Incumbent re-elected.
,,Redistricted from the 10th district,,
California 10,D+18,Mark DeSaulnier,Democratic,Incumbent re-elected.
,,Redistricted from the 11th district,,
,,,,
California 11,D+37,Nancy Pelosi,Democratic,Incumbent re-elected.
,,Redistricted from the 12th district,,
,,,,
California 12,D+40,Barbara Lee,Democratic,Incumbent re-elected.
,,Redistricted from the 13th district,,
,,,,
California 13,D+4,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
California 14,D+22,Eric Swalwell,Democratic,Incumbent re-elected.
,,Redistricted from the 15th district,,
,,,,
California 15,D+28,Jackie Speier,Democratic,Incumbent retired.
,,Redistricted from the 14th district,,New member elected.
,,,,Democratic hold.
California 16,D+26,Anna Eshoo,Democratic,Incumbent re-elected.
,,Redistricted from the 18th district,,
,,,,
California 17,D+23,Ro Khanna,Democratic,Incumbent re-elected.
,,,,
,,,,
California 18,D+21,Zoe Lofgren,Democratic,Incumbent re-elected.
,,Redistricted from the 19th district,,
,,,,
California 19,D+18,Jimmy Panetta,Democratic,Incumbent re-elected.
,,Redistricted from the 20th district,,
,,,,
California 20,R+16,Connie Conway,Republican,Incumbent retired.
,,Redistricted from the 22nd district,,Republican loss.
,,Kevin McCarthy,Republican,Incumbent re-elected.
,,Redistricted from the 23rd district,,
California 21,D+9,Jim Costa,Democratic,Incumbent re-elected.
,,Redistricted from the 16th district,,
,,,,
California 22,D+5,David Valadao,Republican,Incumbent re-elected.
,,Redistricted from the 21st district,,
,,,,
California 23,R+8,Jay Obernolte,Republican,Incumbent re-elected.
,,Redistricted from the 8th district,,
,,,,
California 24,D+13,Salud Carbajal,Democratic,Incumbent re-elected.
,,,,
,,,,
California 25,D+6,Raul Ruiz,Democratic,Incumbent re-elected.
,,Redistricted from the 36th district,,
,,,,
California 26,D+8,Julia Brownley,Democratic,Incumbent re-elected.
,,,,
,,,,
California 27,D+4,Mike Garcia,Republican,Incumbent re-elected.
,,Redistricted from the 25th district,,
,,,,
California 28,D+16,Judy Chu,Democratic,Incumbent re-elected.
,,Redistricted from the 27th district,,
,,,,
California 29,D+26,Tony Cárdenas,Democratic,Incumbent re-elected.
,,,,
,,,,
California 30,D+23,Adam Schiff,Democratic,Incumbent re-elected.
,,Redistricted from the 28th district,,
,,,,
California 31,D+15,Grace Napolitano,Democratic,Incumbent re-elected.
,,Redistricted from the 32nd district,,
,,,,
California 32,D+20,Brad Sherman,Democratic,Incumbent re-elected.
,,Redistricted from the 30th district,,
,,,,
California 33,D+12,Pete Aguilar,Democratic,Incumbent re-elected.
,,Redistricted from the 31st district,,
,,,,
California 34,D+32,Jimmy Gomez,Democratic,Incumbent re-elected.
,,,,
,,,,
California 35,D+13,Norma Torres,Democratic,Incumbent re-elected.
,,,,
,,,,
California 36,D+21,Ted Lieu,Democratic,Incumbent re-elected.
,,Redistricted from the 33rd district,,
,,,,
California 37,D+37,Karen Bass,Democratic,Incumbent retired to run for mayor of Los Angeles.
,,,,New member elected.
,,,,Democratic hold.
California 38,D+14,Linda Sánchez,Democratic,Incumbent re-elected.
,,,,
,,,,
California 39,D+12,Mark Takano,Democratic,Incumbent re-elected.
,,Redistricted from the 41st district,,
,,,,
California 40,R+2,Young Kim,Republican,Incumbent re-elected.
,,Redistricted from the 39th district,,
,,,,
California 41,R+3,Ken Calvert,Republican,Incumbent re-elected.
,,Redistricted from the 42nd district,,
,,,,
California 42,D+22,Lucille Roybal-Allard,Democratic,Incumbent retired.
,,Redistricted from the 40th district,,New member elected.
,,,,Democratic hold.
,,Alan Lowenthal,Democratic,Incumbent retired.
,,Redistricted from the 47th district,,Democratic loss.
California 43,D+32,Maxine Waters,Democratic,Incumbent re-elected.
,,,,
,,,,
California 44,D+24,Nanette Barragán,Democratic,Incumbent re-elected.
,,,,
,,,,
California 45,D+2,Michelle Steel,Republican,Incumbent re-elected.
,,Redistricted from the 48th district,,
,,,,
California 46,D+15,Lou Correa,Democratic,Incumbent re-elected.
,,,,
,,,,
California 47,D+3,Katie Porter,Democratic,Incumbent re-elected.
,,Redistricted from the 45th district,,
,,,,
