"district","median_age","total_va","male_va","female_va","pvi_margin","status","margin_percent"
"Alabama 01","40.3","548,453","261,110","287,343",-16,"Incumbent R",-68.45
"Alabama 02","39.0","540,248","257,160","283,088",-17,"Incumbent R",-40.02
"Alabama 03","39.2","556,008","268,070","287,938",-19,"Incumbent R",-46.13
"Alabama 04","40.9","540,003","262,820","277,183",-33,"Incumbent R",-70.53
"Alabama 05","39.8","549,441","267,976","281,465",-17,"Open",-37.65
"Alabama 06","39.3","529,848","253,859","275,989",-18,"Incumbent R",-69.43
"Alabama 07","36.4","560,041","257,152","302,889",14,"Incumbent D",29.5
"Alaska AL","35.3","534,726","284,285","250,441",-8,"Incumbent D",9.89
"Arizona 01","43.4","604,632","294,356","310,276",-2,"Incumbent R",-0.84
"Arizona 02","41.7","610,356","306,588","303,768",-6,"Incumbent D",-7.74
"Arizona 03","30.6","450,301","227,977","222,324",24,"Incumbent D",52.24
"Arizona 04","34.6","578,509","291,072","287,437",2,"Incumbent D",12.21
"Arizona 05","38.7","556,729","272,972","283,757",-11,"Incumbent R",-19.35
"Arizona 06","43.4","609,173","304,197","304,976",-3,"Open",-1.5
"Arizona 07","33.4","536,070","271,087","264,983",15,"Incumbent D",27.88
"Arizona 08","42.8","584,001","279,413","304,588",-10,"Incumbent R",-93.99
"Arizona 09","40.4","588,782","295,747","293,035",-16,"Incumbent R",-95.98
"Arkansas 01","39.8","571,278","280,115","291,163",-22,"Incumbent R",-48.55
"Arkansas 02","38.1","566,745","269,529","297,216",-9,"Incumbent R",-24.87
"Arkansas 03","35.5","526,237","258,840","267,397",-15,"Incumbent R",-30.84
"Arkansas 04","40.7","569,208","278,372","290,836",-20,"Incumbent R",-44.85
"California 01","38.0","556,563","279,344","277,219",-12,"Incumbent R",-18.83
"California 02","44.6","568,048","278,043","290,005",23,"Incumbent D",43.82
"California 03","43.5","575,826","285,746","290,080",-4,"New seat",-6.63
"California 04","39.2","546,040","266,637","279,403",17,"Incumbent D",35.31
"California 05","41.7","561,786","276,653","285,133",-9,"Incumbent R",-20.21
"California 06","36.3","517,477","249,863","267,614",7,"Incumbent D",13.1
"California 07","36.5","523,773","253,354","270,419",17,"Incumbent D",31.39
"California 08","38.1","498,384","241,662","256,722",26,"Incumbent D",48.91
"California 09","35.0","479,274","236,178","243,096",5,"Open",12.61
"California 10","41.1","522,731","255,366","267,365",18,"Incumbent D",58.96
"California 11","38.7","553,126","283,781","269,345",37,"Incumbent D",62.88
"California 12","37.5","527,638","254,635","273,003",40,"Incumbent D",74.18
"California 13","31.6","422,699","210,673","212,026",4,"New seat",-0.42
"California 14","39.5","483,093","239,874","243,219",22,"Incumbent D",31.44
"California 15","40.3","499,473","246,270","253,203",28,"Open",12.18
"California 16","40.3","487,947","240,007","247,940",26,"Incumbent D",16.96
"California 17","36.4","425,746","220,446","205,300",23,"Incumbent D",39.16
"California 18","34.0","417,049","211,574","205,475",21,"Incumbent D",29.86
"California 19","41.0","544,293","269,418","274,875",18,"Incumbent D",34.67
"California 20","35.1","523,564","261,519","262,045",-16,"Open",-35.27
"California 21","31.2","446,544","219,519","227,025",9,"Incumbent D",9.61
"California 22","29.9","412,568","211,038","201,530",5,"Incumbent R",-3.33
"California 23","34.3","508,630","257,064","251,566",-8,"Incumbent R",-21.26
"California 24","37.0","534,738","267,124","267,614",13,"Incumbent D",21.43
"California 25","36.7","484,012","244,308","239,704",6,"Incumbent D",21.22
"California 26","38.7","508,988","248,696","260,292",8,"Incumbent D",8.67
"California 27","36.3","498,928","249,594","249,334",4,"Incumbent R",-8.38
"California 28","42.7","517,728","249,423","268,305",16,"Incumbent D",26.48
"California 29","35.7","443,698","215,554","228,144",26,"Incumbent D",24.06
"California 30","39.5","542,206","269,431","272,775",23,"Incumbent D",44.11
"California 31","38.4","489,357","237,967","251,390",15,"Incumbent D",10.01
"California 32","40.4","540,377","263,301","277,076",20,"Incumbent D",29.55
"California 33","32.8","472,811","232,893","239,918",12,"Incumbent D",15.39
"California 34","35.5","432,126","220,134","211,992",32,"Incumbent D",2.5
"California 35","33.4","472,989","234,049","238,940",13,"Incumbent D",12.33
"California 36","40.0","544,550","264,117","280,433",21,"Incumbent D",29.69
"California 37","34.4","435,769","208,684","227,085",37,"Open",24.14
"California 38","39.0","512,579","250,787","261,792",14,"Incumbent D",10.22
"California 39","32.1","475,489","234,594","240,895",12,"Incumbent D",20.8
"California 40","41.9","536,536","261,592","274,944",-2,"Incumbent R",-17.06
"California 41","40.0","542,705","274,275","268,430",-3,"Incumbent R",-3.52
"California 42","35.2","457,294","224,308","232,986",22,"Open",27.6
"California 43","34.7","432,241","204,150","228,091",32,"Incumbent D",47.75
"California 44","36.0","465,783","224,991","240,792",24,"Incumbent D",35.98
"California 45","40.1","511,788","252,363","259,425",2,"Incumbent R",-7.64
"California 46","34.0","437,593","217,176","220,417",15,"Incumbent D",17.94
"California 47","38.9","529,256","261,520","267,736",3,"Incumbent D",3.18
"California 48","38.8","538,665","268,153","270,512",-9,"Incumbent R",-20.13
"California 49","38.7","540,791","273,384","267,407",3,"Incumbent D",5.14
"California 50","37.3","538,334","276,833","261,501",14,"Incumbent D",20.05
"California 51","35.9","546,223","272,065","274,158",12,"Incumbent D",18.07
"California 52","35.0","492,312","252,253","240,059",18,"Incumbent D",28.78
"Colorado 01","34.9","533,819","268,188","265,631",29,"Incumbent D",62.76
"Colorado 02","37.1","557,550","284,011","273,539",17,"Incumbent D",41.37
"Colorado 03","41.2","551,258","275,986","275,272",-7,"Incumbent R",-0.17
"Colorado 04","39.2","531,667","269,180","262,487",-13,"Incumbent R",-22.47
"Colorado 05","34.6","532,679","271,881","260,798",-9,"Incumbent R",-15.67
"Colorado 06","37.3","501,941","248,918","253,023",9,"Incumbent D",23.52
"Colorado 07","41.0","568,008","288,707","279,301",4,"Open",14.98
"Colorado 08","34.5","490,365","247,019","243,346",0,"New seat",0.69
"Connecticut 01","39.9","530,603","254,097","276,506",12,"Incumbent D",23.31
"Connecticut 02","42.4","565,279","280,582","284,697",3,"Incumbent D",17.75
"Connecticut 03","40.4","544,173","259,153","285,020",7,"Incumbent D",15.41
"Connecticut 04","40.5","484,520","233,317","251,203",13,"Incumbent D",17.78
"Connecticut 05","41.2","522,145","249,397","272,748",3,"Incumbent D",0.73
"Delaware AL","41.4","746,111","356,861","389,250",7,"Incumbent D",12.5
"Florida 01","38.8","587,995","295,547","292,448",-19,"Incumbent R",-35.67
"Florida 02","38.5","607,051","303,158","303,893",-8,"Incumbent R",-19.63
"Florida 03","39.8","599,160","297,009","302,151",-9,"Incumbent R",-26.26
"Florida 04","38.4","577,512","275,909","301,603",-6,"New seat",-20.9
"Florida 05","38.8","568,395","277,029","291,366",-11,"Incumbent R",NA
